delta	delta_high	alpha	Pizza Price	Pizza Amount	Fondue Price	Fondue Amount	Italian Wage	Swiss Hours Worked	Italian Wage	Swiss Hours Worked	Deviation
0.25	0.05	5.5	24.672	180.324	29.393	190.245	6.416	206.132	6.253	184.357	0.011312
0.25	0.05	6	22.222	174.676	31.653	194.618	6.486	216.851	6.162	173.418	0.011699
0.25	0.05	6.5	19.706	168.471	33.825	198.696	6.546	227.541	6.063	162.608	0.011186
0.25	0.05	7	17.139	161.466	35.915	202.52	6.598	238.155	5.957	151.754	0.011493
0.25	0.05	7.5	14.512	153.517	37.899	206.116	6.638	248.739	5.845	141.091	0.010842
0.25	0.05	8	11.834	144.167	39.785	209.492	6.668	259.162	5.727	130.514	0.010743
0.25	0.05	8.5	9.089	132.755	41.526	212.719	6.683	269.69	5.599	120.269	0.011466
0.25	0.05	9	6.261	118.062	43.109	215.759	6.68	280.159	5.463	110.637	0.010850
0.25	0.075	1	44.13	211.009	6.438	113.046	5.732	142.112	6.545	253.892	0.010689
0.25	0.075	1.5	42.587	207.788	9.361	127.385	5.854	146.956	6.578	245.51	0.010900
0.25	0.075	2	40.841	204.46	12.199	138.515	5.962	152.534	6.592	237.611	0.010694
0.25	0.075	2.5	38.961	200.927	14.974	147.734	6.061	158.516	6.593	229.758	0.010727
0.25	0.075	3	36.954	197.195	17.687	155.671	6.152	164.86	6.581	222.044	0.010873
0.25	0.075	3.5	34.827	193.273	20.338	162.636	6.233	171.495	6.558	214.52	0.010610
0.25	0.075	4	32.61	189.071	22.928	168.91	6.308	178.331	6.525	207.061	0.010619
0.25	0.075	4.5	30.302	184.597	25.456	174.575	6.374	185.318	6.483	199.695	0.010441
0.25	0.075	5	27.924	179.77	27.924	179.765	6.434	192.375	6.434	192.378	0.010725
0.25	0.075	5.5	25.459	174.569	30.305	184.593	6.483	199.678	6.375	185.29	0.010539
0.25	0.075	6	22.93	168.897	32.612	189.062	6.525	207.009	6.308	178.291	0.010706
0.25	0.075	6.5	20.337	162.645	34.828	193.268	6.558	214.529	6.233	171.493	0.010581
0.25	0.075	7	17.683	155.675	36.944	197.216	6.58	222.133	6.151	164.906	0.010523
0.25	0.075	7.5	14.972	147.727	38.955	200.94	6.592	229.802	6.06	158.533	0.010760
0.25	0.075	8	12.201	138.524	40.852	204.426	6.593	237.467	5.963	152.483	0.011087
0.25	0.075	8.5	9.363	127.398	42.599	207.762	6.579	245.415	5.855	146.896	0.011283
0.25	0.075	9	6.44	113.067	44.15	210.966	6.546	253.697	5.734	142.038	0.010990
0.25	0.1	1	44.732	208.372	6.541	110.301	5.975	171.644	6.382	227.117	0.011087
0.25	0.1	1.5	43.191	205.109	9.519	124.38	6.077	172.508	6.441	221.5	0.011070
0.25	0.1	2	41.452	201.694	12.411	135.407	6.165	174.047	6.481	216.364	0.010883
0.25	0.1	2.5	39.571	198.088	15.24	144.552	6.243	176.009	6.51	211.468	0.010922
0.25	0.1	3	37.548	194.301	18.004	152.432	6.31	178.378	6.525	206.888	0.010746
0.25	0.1	3.5	35.416	190.27	20.708	159.413	6.368	181.056	6.531	202.476	0.010951
0.25	0.1	4	33.167	186.055	23.345	165.648	6.416	184.064	6.525	198.426	0.010790
0.25	0.1	4.5	30.836	181.482	25.915	171.395	6.457	187.315	6.511	194.479	0.010632
0.25	0.1	5	28.419	176.623	28.419	176.619	6.489	190.748	6.489	190.757	0.010611
0.25	0.1	5.5	25.92	171.361	30.839	181.491	6.512	194.443	6.457	187.264	0.010664
0.25	0.1	6	23.344	165.664	33.168	186.038	6.525	198.405	6.416	184.069	0.010523
0.25	0.1	6.5	20.706	159.396	35.411	190.293	6.53	202.52	6.368	181.079	0.010603
0.25	0.1	7	18.005	152.435	37.552	194.284	6.525	206.82	6.31	178.354	0.010990
0.25	0.1	7.5	15.236	144.546	39.556	198.116	6.508	211.569	6.241	176.066	0.010521
0.25	0.1	8	12.408	135.399	41.436	201.729	6.48	216.505	6.163	174.116	0.010604
0.25	0.1	8.5	9.515	124.399	43.175	205.135	6.439	221.646	6.076	172.561	0.010726
0.25	0.1	9	6.542	110.287	44.734	208.378	6.382	227.131	5.975	171.655	0.011000
0.25	0.125	1	44.918	207.557	6.575	109.386	6.191	199.893	6.191	199.929	0.010954
0.25	0.125	1.5	43.369	204.28	9.566	123.439	6.271	197.367	6.271	197.367	0.010769
0.25	0.125	2	41.648	200.815	12.48	134.412	6.338	195.257	6.338	195.282	0.010946
0.25	0.125	2.5	39.76	197.203	15.325	143.507	6.392	193.666	6.391	193.643	0.010825
0.25	0.125	3	37.746	193.364	18.108	151.407	6.435	192.364	6.435	192.352	0.010855
0.25	0.125	3.5	35.603	189.346	20.83	158.342	6.467	191.395	6.467	191.411	0.010855
0.25	0.125	4	33.355	185.053	23.481	164.642	6.489	190.752	6.489	190.755	0.010645
0.25	0.125	4.5	31.013	180.481	26.067	170.37	6.503	190.36	6.503	190.36	0.010763
0.25	0.125	5	28.583	175.59	28.581	175.629	6.507	190.211	6.507	190.213	0.010864
0.25	0.125	5.5	26.068	170.337	31.008	180.516	6.502	190.379	6.502	190.378	0.010655
0.25	0.125	6	23.482	164.647	33.357	185.046	6.489	190.742	6.489	190.748	0.010746
0.25	0.125	6.5	20.826	158.352	35.597	189.357	6.466	191.438	6.466	191.461	0.010659
0.25	0.125	7	18.11	151.394	37.749	193.356	6.435	192.317	6.435	192.313	0.011016
0.25	0.125	7.5	15.326	143.515	39.766	197.184	6.392	193.618	6.392	193.597	0.010946
0.25	0.125	8	12.479	134.39	41.64	200.836	6.337	195.335	6.337	195.304	0.010779
0.25	0.125	8.5	9.568	123.449	43.383	204.257	6.272	197.289	6.273	197.305	0.011093
0.25	0.125	9	6.573	109.396	44.908	207.576	6.19	199.984	6.19	199.993	0.010666
0.3	0.03	1	29.941	282.079	4.667	143.599	4.145	103.59	5.918	384.616	0.009812
0.3	0.03	1.5	28.835	278.019	6.663	165.029	4.293	123.691	5.871	370.385	0.010432
0.3	0.03	2	27.621	273.73	8.571	181.595	4.436	144.085	5.806	355.873	0.010686
0.3	0.03	2.5	26.33	269.169	10.422	195.054	4.576	164.109	5.73	340.923	0.012330
0.3	0.03	3	24.988	264.304	12.238	206.205	4.713	183.126	5.649	325.47	0.016604
0.3	0.03	3.5	23.559	259.09	13.989	216.192	4.845	202.337	5.554	309.603	0.016617
0.3	0.03	4	22.056	253.507	15.675	225.362	4.972	221.984	5.446	293.409	0.013210
0.3	0.03	4.5	20.509	247.465	17.318	233.541	5.094	241.014	5.332	276.69	0.010699
0.3	0.03	5	18.918	240.918	18.919	240.915	5.213	259.474	5.213	259.456	0.008880
0.3	0.03	5.5	17.316	233.56	20.509	247.487	5.332	276.741	5.094	241.11	0.010609
0.3	0.03	6	15.674	225.368	22.058	253.515	5.446	293.429	4.972	222.018	0.013294
0.3	0.03	6.5	13.986	216.255	23.557	259.108	5.553	309.676	4.845	202.517	0.016052
0.3	0.03	7	12.22	206.496	24.97	264.31	5.644	325.541	4.712	183.803	0.013291
0.3	0.03	7.5	10.418	195.12	26.327	269.167	5.729	340.929	4.575	164.235	0.011473
0.3	0.03	8	8.571	181.601	27.62	273.731	5.806	355.878	4.436	144.092	0.010562
0.3	0.03	8.5	6.662	165.078	28.834	278.019	5.87	370.395	4.293	123.761	0.009824
0.3	0.03	9	4.667	143.582	29.941	282.079	5.918	384.617	4.145	103.574	0.010125
0.3	0.06	1	31.241	271.002	4.933	131.426	4.451	147.518	5.788	354.073	0.008812
0.3	0.06	1.5	30.181	266.522	7.063	151.784	4.583	159.704	5.776	341.75	0.008617
0.3	0.06	2	28.993	261.795	9.102	167.737	4.709	172.624	5.745	329.373	0.008917
0.3	0.06	2.5	27.692	256.871	11.071	180.904	4.827	185.877	5.702	317.108	0.009477
0.3	0.06	3	26.308	251.626	12.978	192.31	4.941	199.396	5.646	304.637	0.009178
0.3	0.06	3.5	24.854	246.051	14.837	202.298	5.05	212.852	5.583	291.967	0.009578
0.3	0.06	4	23.33	240.114	16.643	211.235	5.154	226.255	5.512	279.171	0.009823
0.3	0.06	4.5	21.748	233.74	18.403	219.323	5.253	239.536	5.433	266.144	0.010174
0.3	0.06	5	20.089	226.88	20.088	226.891	5.344	253.145	5.343	253.124	0.008774
0.3	0.06	5.5	18.388	219.424	21.736	233.759	5.43	266.288	5.251	239.809	0.008996
0.3	0.06	6	16.643	211.238	23.33	240.116	5.511	279.175	5.154	226.269	0.009780
0.3	0.06	6.5	14.834	202.333	24.852	246.049	5.582	291.993	5.05	212.915	0.009142
0.3	0.06	7	12.979	192.301	26.308	251.628	5.647	304.641	4.941	199.38	0.009314
0.3	0.06	7.5	11.069	180.952	27.688	256.874	5.701	317.137	4.827	185.971	0.008921
0.3	0.06	8	9.102	167.657	28.987	261.832	5.745	329.479	4.708	172.572	0.009649
0.3	0.06	8.5	7.064	151.781	30.183	266.509	5.775	341.685	4.584	159.691	0.008741
0.3	0.06	9	4.934	131.426	31.245	270.998	5.788	354.062	4.451	147.498	0.008782
0.3	0.09	1	32.068	264.519	5.108	124.029	4.729	187.538	5.623	323.378	0.008842
0.3	0.09	1.5	31.04	259.775	7.328	143.693	4.843	193.403	5.642	313.44	0.008907
0.3	0.09	2	29.866	254.827	9.454	159.217	4.948	200.149	5.644	303.939	0.008703
0.3	0.09	2.5	28.578	249.61	11.507	172.22	5.045	207.536	5.632	294.504	0.008788
0.3	0.09	3	27.191	244.1	13.493	183.535	5.134	215.369	5.609	285.23	0.008468
0.3	0.09	3.5	25.725	238.258	15.425	193.562	5.219	223.445	5.577	276.031	0.008646
0.3	0.09	4	24.174	232.088	17.296	202.581	5.296	231.812	5.536	266.958	0.008698
0.3	0.09	4.5	22.551	225.496	19.109	210.843	5.366	240.403	5.486	257.989	0.008599
0.3	0.09	5	20.86	218.461	20.862	218.425	5.43	249.116	5.43	249.153	0.008738
0.3	0.09	5.5	19.111	210.821	22.553	225.503	5.487	257.977	5.366	240.367	0.008762
0.3	0.09	6	17.297	202.578	24.175	232.087	5.536	266.956	5.296	231.8	0.008739
0.3	0.09	6.5	15.422	193.567	25.72	238.279	5.576	276.091	5.218	223.503	0.008402
0.3	0.09	7	13.495	183.531	27.195	244.092	5.609	285.216	5.135	215.331	0.008580
0.3	0.09	7.5	11.506	172.218	28.576	249.62	5.632	294.563	5.044	207.531	0.008792
0.3	0.09	8	9.453	159.23	29.864	254.831	5.643	303.949	4.947	200.187	0.008631
0.3	0.09	8.5	7.328	143.663	31.039	259.787	5.642	313.472	4.843	193.396	0.008791
0.3	0.09	9	5.108	124.027	32.067	264.534	5.623	323.447	4.728	187.555	0.008708
0.3	0.12	1	32.526	261.061	5.208	119.961	4.983	224.588	5.431	292.049	0.008793
0.3	0.12	1.5	31.516	256.185	7.479	139.224	5.077	225.338	5.478	285.05	0.008637
0.3	0.12	2	30.375	251.016	9.661	154.511	5.162	226.798	5.511	278.399	0.009010
0.3	0.12	2.5	29.091	245.657	11.761	167.438	5.234	229.112	5.529	272.433	0.008702
0.3	0.12	3	27.712	239.978	13.799	178.682	5.299	231.808	5.538	266.692	0.008841
0.3	0.12	3.5	26.23	234.018	15.77	188.713	5.355	235.071	5.535	261.31	0.008601
0.3	0.12	4	24.665	227.705	17.679	197.808	5.404	238.685	5.525	256.258	0.008459
0.3	0.12	4.5	23.02	221.023	19.526	206.115	5.445	242.658	5.506	251.481	0.008487
0.3	0.12	5	21.312	213.829	21.313	213.8	5.48	246.841	5.48	246.85	0.008610
0.3	0.12	5.5	19.528	206.135	23.026	220.973	5.507	251.391	5.446	242.604	0.008578
0.3	0.12	6	17.68	197.793	24.665	227.71	5.525	256.242	5.404	238.676	0.008518
0.3	0.12	6.5	15.771	188.722	26.234	233.999	5.536	261.279	5.356	235.04	0.008809
0.3	0.12	7	13.797	178.688	27.706	240	5.537	266.74	5.299	231.884	0.008579
0.3	0.12	7.5	11.762	167.446	29.094	245.64	5.529	272.403	5.234	229.068	0.008870
0.3	0.12	8	9.659	154.535	30.369	251.041	5.51	278.509	5.161	226.868	0.008768
0.3	0.12	8.5	7.481	139.231	31.524	256.163	5.479	285.011	5.078	225.249	0.008890
0.3	0.12	9	5.207	119.962	32.519	261.093	5.43	292.143	4.982	224.686	0.008515
0.3	0.15	1	32.676	259.964	5.241	118.669	5.217	259.286	5.217	259.249	0.008789
0.3	0.15	1.5	31.679	255.02	7.53	137.808	5.29	255.714	5.29	255.739	0.008798
0.3	0.15	2	30.529	249.841	9.725	153.054	5.348	252.937	5.348	252.942	0.008753
0.3	0.15	2.5	29.257	244.393	11.844	165.916	5.395	250.694	5.395	250.701	0.008822
0.3	0.15	3	27.876	238.682	13.896	177.146	5.433	248.987	5.433	248.986	0.008718
0.3	0.15	3.5	26.39	232.695	15.882	187.15	5.46	247.746	5.46	247.756	0.008604
0.3	0.15	4	24.825	226.326	17.807	196.243	5.48	246.844	5.48	246.832	0.008634
0.3	0.15	4.5	23.183	219.536	19.668	204.607	5.493	246.266	5.493	246.272	0.008533
0.3	0.15	5	21.459	212.337	21.459	212.343	5.496	246.11	5.497	246.131	0.008411
0.3	0.15	5.5	19.669	204.595	23.183	219.546	5.493	246.272	5.493	246.261	0.008563
0.3	0.15	6	17.809	196.248	24.829	226.305	5.481	246.81	5.481	246.79	0.008603
0.3	0.15	6.5	15.889	187.137	26.404	232.65	5.462	247.621	5.462	247.622	0.008825
0.3	0.15	7	13.897	177.147	27.878	238.676	5.433	248.974	5.433	248.974	0.008777
0.3	0.15	7.5	11.844	165.902	29.254	244.413	5.395	250.757	5.395	250.715	0.008626
0.3	0.15	8	9.724	153.04	30.526	249.857	5.348	253.002	5.347	252.94	0.008603
0.3	0.15	8.5	7.53	137.813	31.677	255.032	5.289	255.752	5.29	255.776	0.008677
0.3	0.15	9	5.241	118.651	32.675	259.974	5.217	259.266	5.217	259.316	0.008714
0.35	0.035	1	21.577	358.612	3.65	166.838	3.379	135.694	5.28	461.827	0.008210
0.35	0.035	1.5	20.802	352.964	5.122	196.259	3.524	161.24	5.213	446.604	0.008774
0.35	0.035	2	19.952	347.012	6.51	219.041	3.666	186.6	5.133	430.976	0.010302
0.35	0.035	2.5	19.038	340.692	7.833	237.945	3.805	211.638	5.039	414.852	0.009761
0.35	0.035	3	18.087	333.969	9.12	253.71	3.944	235.326	4.941	398.062	0.012190
0.35	0.035	3.5	17.092	326.741	10.369	267.421	4.079	257.989	4.835	380.566	0.013811
0.35	0.035	4	16.04	319.012	11.559	280.069	4.211	281.041	4.716	362.56	0.011186
0.35	0.035	4.5	14.955	310.644	12.714	291.388	4.341	303.142	4.593	343.792	0.008865
0.35	0.035	5	13.839	301.548	13.84	301.574	4.467	324.225	4.467	324.201	0.007504
0.35	0.035	5.5	12.714	291.39	14.956	310.666	4.594	343.821	4.341	303.19	0.008899
0.35	0.035	6	11.557	280.095	16.04	319.022	4.716	362.595	4.211	281.112	0.010966
0.35	0.035	6.5	10.366	267.457	17.09	326.755	4.834	380.614	4.079	258.082	0.013550
0.35	0.035	7	9.117	253.784	18.084	333.97	4.94	398.086	3.943	235.466	0.011607
0.35	0.035	7.5	7.834	237.918	19.039	340.695	5.039	414.851	3.805	211.599	0.010195
0.35	0.035	8	6.51	219.044	19.952	347.013	5.132	430.98	3.666	186.605	0.010171
0.35	0.035	8.5	5.12	196.368	20.798	352.974	5.213	446.648	3.523	161.393	0.007543
0.35	0.035	9	3.651	166.82	21.578	358.61	5.28	461.818	3.379	135.668	0.008487
0.35	0.07	1	22.579	343.911	3.912	148.816	3.682	190.237	5.118	429.147	0.007273
0.35	0.07	1.5	21.849	337.543	5.506	176.449	3.808	205.249	5.089	415.772	0.007244
0.35	0.07	2	21.03	330.807	7.006	198.316	3.93	220.983	5.043	402.171	0.007632
0.35	0.07	2.5	20.141	323.722	8.439	216.583	4.048	236.952	4.987	388.439	0.008564
0.35	0.07	3	19.179	316.252	9.809	232.553	4.161	253.276	4.918	374.609	0.007598
0.35	0.07	3.5	18.17	308.319	11.136	246.552	4.272	269.28	4.844	360.424	0.008004
0.35	0.07	4	17.113	299.882	12.422	259.048	4.379	284.945	4.763	345.924	0.008755
0.35	0.07	4.5	16.003	290.853	13.657	270.54	4.482	300.636	4.675	331.202	0.008285
0.35	0.07	5	14.843	281.159	14.843	281.168	4.579	316.282	4.579	316.274	0.007286
0.35	0.07	5.5	13.652	270.587	15.999	290.882	4.673	331.303	4.481	300.776	0.007903
0.35	0.07	6	12.42	259.076	17.112	299.889	4.763	345.962	4.379	285.006	0.008543
0.35	0.07	6.5	11.136	246.541	18.171	308.318	4.844	360.426	4.272	269.248	0.008042
0.35	0.07	7	9.81	232.523	19.18	316.254	4.919	374.594	4.162	253.234	0.007931
0.35	0.07	7.5	8.435	216.692	20.136	323.726	4.985	388.492	4.047	237.129	0.007478
0.35	0.07	8	7.005	198.372	21.028	330.807	5.043	402.173	3.93	221.079	0.006960
0.35	0.07	8.5	5.505	176.441	21.847	337.556	5.089	415.789	3.808	205.289	0.007070
0.35	0.07	9	3.911	148.823	22.574	343.926	5.118	429.186	3.682	190.281	0.007176
0.35	0.105	1	23.196	335.553	4.084	137.975	3.963	238.999	4.926	395.861	0.007465
0.35	0.105	1.5	22.51	328.672	5.762	164.446	4.07	245.866	4.93	384.691	0.007131
0.35	0.105	2	21.724	321.424	7.342	185.705	4.17	253.812	4.918	373.721	0.007172
0.35	0.105	2.5	20.849	313.831	8.844	203.762	4.263	262.513	4.895	363.067	0.007137
0.35	0.105	3	19.903	305.867	10.286	219.51	4.352	271.701	4.862	352.552	0.007324
0.35	0.105	3.5	18.889	297.457	11.668	233.621	4.435	281.306	4.82	342.117	0.007220
0.35	0.105	4	17.82	288.552	13.001	246.401	4.513	291.084	4.771	331.769	0.007159
0.35	0.105	4.5	16.696	279.07	14.284	258.106	4.586	301.018	4.716	321.397	0.007326
0.35	0.105	5	15.516	268.963	15.516	268.951	4.654	311.146	4.654	311.15	0.007261
0.35	0.105	5.5	14.286	258.075	16.696	279.087	4.716	321.392	4.586	300.991	0.007568
0.35	0.105	6	13	246.424	17.82	288.533	4.771	331.744	4.513	291.103	0.007081
0.35	0.105	6.5	11.67	233.625	18.893	297.434	4.821	342.085	4.435	281.252	0.007132
0.35	0.105	7	10.286	219.512	19.905	305.864	4.862	352.551	4.352	271.691	0.007268
0.35	0.105	7.5	8.847	203.737	20.854	313.817	4.896	363.01	4.264	262.464	0.007278
0.35	0.105	8	7.343	185.726	21.728	321.401	4.919	373.703	4.17	253.759	0.007294
0.35	0.105	8.5	5.763	164.394	22.513	328.661	4.93	384.644	4.07	245.785	0.007727
0.35	0.105	9	4.083	138.008	23.192	335.563	4.925	395.87	3.963	239.077	0.007020
0.35	0.14	1	23.542	331.094	4.183	132.106	4.228	283.114	4.711	360.831	0.007249
0.35	0.14	1.5	22.882	323.938	5.912	157.894	4.313	283.681	4.745	352.633	0.007301
0.35	0.14	2	22.116	316.417	7.538	178.804	4.389	285.351	4.765	345.055	0.007069
0.35	0.14	2.5	21.257	308.561	9.085	196.637	4.456	287.843	4.775	338.074	0.007322
0.35	0.14	3	20.316	300.289	10.562	212.398	4.517	291.033	4.774	331.475	0.006862
0.35	0.14	3.5	19.31	291.576	11.984	226.517	4.571	294.696	4.766	325.162	0.006968
0.35	0.14	4	18.238	282.366	13.347	239.416	4.62	298.81	4.75	319.185	0.007122
0.35	0.14	4.5	17.101	272.64	14.654	251.296	4.662	303.365	4.727	313.57	0.007118
0.35	0.14	5	15.909	262.294	15.909	262.314	4.698	308.242	4.698	308.222	0.007287
0.35	0.14	5.5	14.655	251.283	17.102	272.649	4.727	313.564	4.662	303.362	0.007075
0.35	0.14	6	13.348	239.374	18.237	282.39	4.75	319.168	4.62	298.799	0.007260
0.35	0.14	6.5	11.983	226.508	19.308	291.589	4.766	325.187	4.571	294.702	0.007097
0.35	0.14	7	10.565	212.381	20.32	300.272	4.774	331.421	4.517	290.98	0.007096
0.35	0.14	7.5	9.085	196.691	21.261	308.513	4.775	338.016	4.457	287.787	0.007219
0.35	0.14	8	7.538	178.807	22.118	316.4	4.765	345.025	4.389	285.301	0.007190
0.35	0.14	8.5	5.911	157.923	22.882	323.933	4.745	352.651	4.313	283.666	0.007097
0.35	0.14	9	4.183	132.14	23.542	331.069	4.71	360.786	4.228	283.063	0.007329
0.35	0.175	1	23.654	329.684	4.215	130.267	4.477	323.455	4.478	323.511	0.007202
0.35	0.175	1.5	23.006	322.436	5.961	155.813	4.539	319.08	4.539	319.131	0.007217
0.35	0.175	2	22.249	314.829	7.605	176.545	4.589	315.648	4.588	315.624	0.007680
0.35	0.175	2.5	21.392	306.847	9.164	194.413	4.627	312.988	4.627	312.984	0.007084
0.35	0.175	3	20.46	298.454	10.657	210.12	4.659	310.862	4.659	310.819	0.007259
0.35	0.175	3.5	19.45	289.694	12.089	224.238	4.683	309.332	4.682	309.31	0.007047
0.35	0.175	4	18.375	280.41	13.462	237.151	4.699	308.191	4.699	308.19	0.007096
0.35	0.175	4.5	17.236	270.591	14.776	249.126	4.709	307.585	4.709	307.588	0.007136
0.35	0.175	5	16.035	260.177	16.033	260.237	4.712	307.376	4.712	307.373	0.007159
0.35	0.175	5.5	14.775	249.127	17.234	270.598	4.708	307.588	4.708	307.611	0.007081
0.35	0.175	6	13.461	237.169	18.374	280.417	4.699	308.22	4.699	308.241	0.006979
0.35	0.175	6.5	12.087	224.216	19.444	289.733	4.682	309.391	4.681	309.355	0.007202
0.35	0.175	7	10.656	210.126	20.458	298.478	4.659	310.91	4.659	310.893	0.007057
0.35	0.175	7.5	9.165	194.392	21.394	306.841	4.628	312.937	4.628	312.961	0.007161
0.35	0.175	8	7.603	176.618	22.248	314.827	4.588	315.693	4.588	315.687	0.007096
0.35	0.175	8.5	5.96	155.832	23.003	322.422	4.538	319.062	4.538	319.104	0.007225
0.35	0.175	9	4.214	130.249	23.647	329.716	4.477	323.565	4.477	323.552	0.007061
0.4	0.04	1	15.555	458.495	2.861	197.696	2.797	173.574	4.8	535.937	0.006780
0.4	0.04	1.5	15.002	450.79	3.937	237.587	2.938	205.059	4.717	520.522	0.007338
0.4	0.04	2	14.402	442.673	4.938	268.474	3.08	235.46	4.622	504.528	0.010136
0.4	0.04	2.5	13.754	434.091	5.879	294.349	3.22	265.216	4.515	488.006	0.008995
0.4	0.04	3	13.087	424.939	6.795	315.656	3.359	292.343	4.406	470.523	0.012561
0.4	0.04	3.5	12.38	415.144	7.666	334.786	3.496	319.035	4.287	452.34	0.011669
0.4	0.04	4	11.644	404.665	8.503	351.892	3.633	344.818	4.161	433.316	0.009589
0.4	0.04	4.5	10.883	393.311	9.313	367.228	3.767	369.207	4.031	413.312	0.007524
0.4	0.04	5	10.102	380.977	10.103	380.997	3.899	392.168	3.899	392.149	0.006273
0.4	0.04	5.5	9.313	367.226	10.884	393.342	4.031	413.335	3.767	369.262	0.007523
0.4	0.04	6	8.502	351.925	11.643	404.685	4.161	433.368	3.633	344.897	0.009299
0.4	0.04	6.5	7.665	334.801	12.38	415.174	4.287	452.385	3.496	319.116	0.011568
0.4	0.04	7	6.786	316.069	13.08	424.956	4.403	470.648	3.359	293.06	0.010014
0.4	0.04	7.5	5.879	294.367	13.753	434.093	4.515	488.017	3.219	265.238	0.008930
0.4	0.04	8	4.935	268.688	14.397	442.685	4.621	504.601	3.079	235.745	0.008514
0.4	0.04	8.5	3.936	237.664	15.001	450.794	4.717	520.534	2.938	205.158	0.006708
0.4	0.04	9	2.862	197.645	15.556	458.495	4.801	535.94	2.797	173.52	0.007375
0.4	0.08	1	16.295	439.567	3.119	171.256	3.096	238.719	4.612	502.759	0.005995
0.4	0.08	1.5	15.795	430.565	4.305	208.242	3.217	256.577	4.568	488.796	0.005945
0.4	0.08	2	15.23	421.087	5.4	237.915	3.335	275.118	4.509	474.669	0.006351
0.4	0.08	2.5	14.611	411.151	6.429	262.939	3.451	293.864	4.439	460.33	0.006654
0.4	0.08	3	13.948	400.697	7.407	284.701	3.565	312.482	4.361	445.72	0.006731
0.4	0.08	3.5	13.25	389.615	8.346	303.927	3.676	330.607	4.278	430.638	0.007267
0.4	0.08	4	12.517	377.862	9.25	321.189	3.785	348.256	4.189	415.117	0.007964
0.4	0.08	4.5	11.745	365.294	10.111	337.152	3.89	365.828	4.093	399.262	0.007039
0.4	0.08	5	10.939	351.831	10.939	351.836	3.992	382.975	3.992	382.977	0.006153
0.4	0.08	5.5	10.109	337.195	11.743	365.318	4.092	399.335	3.89	365.932	0.006759
0.4	0.08	6	9.248	321.257	12.515	377.86	4.188	415.158	3.785	348.367	0.007546
0.4	0.08	6.5	8.343	304.045	13.247	389.609	4.277	430.688	3.676	330.792	0.006494
0.4	0.08	7	7.408	284.681	13.949	400.688	4.362	445.701	3.565	312.427	0.006898
0.4	0.08	7.5	6.428	262.978	14.61	411.147	4.439	460.344	3.451	293.905	0.006362
0.4	0.08	8	5.4	237.883	15.229	421.101	4.509	474.685	3.335	275.111	0.006609
0.4	0.08	8.5	4.306	208.186	15.796	430.556	4.569	488.782	3.217	256.485	0.006424
0.4	0.08	9	3.118	171.244	16.286	439.64	4.611	502.935	3.094	238.822	0.006025
0.4	0.12	1	16.743	429.097	3.291	155.605	3.38	295.574	4.398	468.334	0.005871
0.4	0.12	1.5	16.284	419.233	4.554	190.745	3.479	303.401	4.388	456.427	0.005852
0.4	0.12	2	15.758	408.849	5.719	219.372	3.574	312.436	4.366	444.686	0.006345
0.4	0.12	2.5	15.161	398.062	6.807	244.011	3.663	322.508	4.331	433.407	0.006047
0.4	0.12	3	14.517	386.7	7.838	265.708	3.749	332.995	4.288	422.108	0.005936
0.4	0.12	3.5	13.825	374.724	8.817	285.218	3.831	343.811	4.238	410.78	0.005918
0.4	0.12	4	13.094	362.084	9.755	302.958	3.91	354.706	4.183	399.473	0.006084
0.4	0.12	4.5	12.318	348.744	10.65	319.329	3.985	365.854	4.121	388.274	0.006018
0.4	0.12	5	11.503	334.544	11.504	334.512	4.055	377.032	4.055	377.043	0.006100
0.4	0.12	5.5	10.649	319.316	12.319	348.735	4.121	388.237	3.985	365.827	0.006036
0.4	0.12	6	9.755	302.956	13.094	362.087	4.183	399.469	3.91	354.712	0.006083
0.4	0.12	6.5	8.818	285.203	13.826	374.731	4.238	410.816	3.831	343.765	0.006028
0.4	0.12	7	7.839	265.721	14.52	386.65	4.289	422.005	3.75	332.955	0.005994
0.4	0.12	7.5	6.808	243.982	15.164	398.019	4.331	433.278	3.664	322.428	0.006240
0.4	0.12	8	5.719	219.381	15.758	408.847	4.366	444.689	3.574	312.437	0.006289
0.4	0.12	8.5	4.556	190.715	16.29	419.182	4.389	456.29	3.48	303.297	0.006045
0.4	0.12	9	3.291	155.616	16.745	429.063	4.398	468.261	3.38	295.51	0.005952
0.4	0.16	1	16.993	423.551	3.391	147.173	3.653	345.74	4.164	431.079	0.006105
0.4	0.16	1.5	16.56	413.259	4.701	181.252	3.729	346.26	4.186	422.212	0.005881
0.4	0.16	2	16.052	402.421	5.906	209.365	3.797	348.07	4.196	413.951	0.005883
0.4	0.16	2.5	15.479	391.03	7.033	233.641	3.859	350.738	4.195	406.13	0.006246
0.4	0.16	3	14.847	379.157	8.094	255.295	3.915	354.322	4.187	398.919	0.005994
0.4	0.16	3.5	14.165	366.676	9.101	274.921	3.967	358.447	4.172	392.087	0.006055
0.4	0.16	4	13.435	353.576	10.059	292.877	4.014	363.066	4.151	385.57	0.006034
0.4	0.16	4.5	12.657	339.779	10.97	309.532	4.055	368.147	4.124	379.435	0.006096
0.4	0.16	5	11.836	325.133	11.836	325.112	4.092	373.604	4.092	373.6	0.006061
0.4	0.16	5.5	10.969	309.569	12.657	339.748	4.124	379.422	4.055	368.164	0.006021
