b_R	OPTIMAL_COST	PLANNED	KNOWN	
-5.0	241.72457034653408	392.1156662651467	505.54769244730386	
-4.99	241.702248212453	390.95631006184135	513.8470489895137	
-4.98	241.7374370996033	394.26736296338004	526.2587783283598	
-4.970000000000001	241.72608176673043	393.79967553893346	506.5882927261816	
-4.960000000000001	241.67833100157645	393.66995054369767	503.184022921031	
-4.950000000000001	241.72479879599217	392.73920550271697	510.72607552207387	
-4.940000000000001	241.70414138094455	393.69717452548855	479.4924023831502	
-4.9300000000000015	241.70844014738972	392.4391747346534	514.2845654198134	
-4.920000000000002	241.69381028308715	392.89670570380406	495.553737559572	
-4.910000000000002	241.70530085090525	393.82202856318963	521.0131942874469	
-4.900000000000002	241.71670579583605	391.4792400830988	505.6835173871141	
-4.890000000000002	241.75715991241555	394.70103377600844	527.3755433797627	
-4.880000000000003	241.72871543182913	391.76173992252126	520.4322399961525	
-4.870000000000003	241.7746212106888	392.41492242508707	507.0360515888334	
-4.860000000000003	241.73409907436493	391.2818857595591	521.4888955923924	
-4.850000000000003	241.6589519113967	393.49423620143403	508.69782939230134	
-4.840000000000003	241.70637820804916	393.1170228102022	503.85582908563157	
-4.830000000000004	241.77775047859933	391.4174727390934	516.3518869215656	
-4.820000000000004	241.71389383685693	392.27390616762443	536.0286581496273	
-4.810000000000004	241.67242952339018	394.9025264758475	517.9542460455925	
-4.800000000000004	241.70865359527764	391.8587806683743	520.2613857957244	
-4.7900000000000045	241.67601712504012	392.95857991824334	522.7406988834829	
-4.780000000000005	241.76179580704553	392.6616899712064	508.0864876496111	
-4.770000000000005	241.76412958189363	391.4857342558604	504.3801332745673	
-4.760000000000005	241.74013562795662	394.008262689892	491.7671022313682	
-4.750000000000005	241.75581572987642	396.27266910137723	508.61600464433354	
-4.7400000000000055	241.76931675290135	390.9900920926887	518.1570917314742	
-4.730000000000006	241.7892352319129	390.1683946291547	525.1836028103504	
-4.720000000000006	241.70937741710932	393.34064834503926	509.72762607813263	
-4.710000000000006	241.70937475547908	394.9014625784161	508.695919418221	
-4.700000000000006	241.66447865465733	390.6462303548591	519.5340403370207	
-4.690000000000007	241.6866080077946	394.15666908552964	527.2171419823612	
-4.680000000000007	241.71443798414595	391.9409995416514	521.613131761098	
-4.670000000000007	241.70149586249127	392.31362345371895	506.11709654640833	
-4.660000000000007	241.70756335189873	394.2747079326366	532.7556153607451	
-4.6500000000000075	241.6990473154554	394.56956575154123	518.4381117532657	
-4.640000000000008	241.70557041507158	389.8556179625625	517.0055283126258	
-4.630000000000008	241.71835926829482	394.2419500763688	530.3472727285292	
-4.620000000000008	241.7079756610015	389.22776101446675	509.1475649607405	
-4.610000000000008	241.75215106742908	391.8107982348812	535.7613722016657	
-4.6000000000000085	241.6841427510789	394.1031762127762	511.0938946220448	
-4.590000000000009	241.68581371334488	391.50107816104446	507.3732208107482	
-4.580000000000009	241.70067265795555	391.4101306968364	507.4938340136401	
-4.570000000000009	241.6953672437782	393.84397418857486	532.3686726903367	
-4.560000000000009	241.65042620465516	393.0674697336895	519.9812963673663	
-4.55000000000001	241.77260481879117	391.7396492477443	522.6753857826732	
-4.54000000000001	241.75313383957274	394.81857021058806	528.7178097455945	
-4.53000000000001	241.71875658142127	391.6913130876251	516.4253234750037	
-4.52000000000001	241.6839560888642	391.03801406446445	536.8078477854349	
-4.5100000000000104	241.73001147750566	392.9516979133081	499.27894403046264	
-4.500000000000011	241.7322554211218	392.3733096627183	513.6222355793552	
-4.490000000000011	241.71293013440433	391.1749121294784	535.7038304999589	
-4.480000000000011	241.71048609151384	395.52740288665154	506.00475302409393	
-4.470000000000011	241.74751459677057	392.07815436674986	520.8991612300115	
-4.4600000000000115	241.7201526021608	391.64034863095185	538.7771101997332	
-4.450000000000012	241.68348420177313	391.63535845042867	501.1244119200361	
-4.440000000000012	241.7060277924732	392.531505148113	534.877661218006	
-4.430000000000012	241.67306635543872	393.08440707020134	532.9886635636935	
-4.420000000000012	241.69642044313883	392.5789693330007	516.3361829651991	
-4.410000000000013	241.70546683535565	392.55383849320754	530.7139032349436	
-4.400000000000013	241.78804285013166	391.5212932016533	516.400071392912	
-4.390000000000013	241.74361246140137	392.59870582935287	537.5745783270223	
-4.380000000000013	241.6521228185493	392.0051097889133	533.9572164286315	
-4.370000000000013	241.6779534213142	391.3108324380621	516.2459669897207	
-4.360000000000014	241.71767073200218	393.45473023913627	523.6699823678437	
-4.350000000000014	241.69070969628132	392.8398428012956	548.3805982170584	
-4.340000000000014	241.68954101410912	395.81922254332227	547.9693079103772	
-4.330000000000014	241.73868580955576	394.92639023182585	532.7670158536172	
-4.3200000000000145	241.74505025580822	392.1666085737093	518.6731683879648	
-4.310000000000015	241.7004408560158	394.61730706899766	533.1442854435285	
-4.300000000000015	241.7368818752178	393.43697353203453	521.3890748973408	
-4.290000000000015	241.64865605518577	393.31871175859237	527.8608549230775	
-4.280000000000015	241.68433355265452	392.92788782740547	528.1565409699523	
-4.270000000000016	241.69241607709773	393.2617181813737	530.1279242661673	
-4.260000000000016	241.73724708878353	394.13283033221467	541.9779441278755	
-4.250000000000016	241.7212449948194	394.5002122114553	538.9841154446129	
-4.240000000000016	241.6983038303476	394.3163179134265	505.9387436143453	
-4.230000000000016	241.74506628249333	393.47727862316	530.9327887353013	
